Marca temporal,Gender,Age,Which of the following types of cozy games have you played in the past month? (choose all that apply) ,How often do you play cozy games?  ,How do you typically discover new cozy games to play?  ,How much time do you spend playing cozy games in a typical week?  ,How much money have you spent on in-game purchases in the past month?  ,Which of the following in-game purchases have you made in the past month? (choose all that apply)  ,How important are the following features when deciding whether to play a cozy game?   [Engaging storyline],How important are the following features when deciding whether to play a cozy game?   [Attractive graphics],How important are the following features when deciding whether to play a cozy game?   [Relaxing atmosphere],How important are the following features when deciding whether to play a cozy game?   [Social interactions with other players],How important are the following features when deciding whether to play a cozy game?   [Challenging gameplay],Have you ever recommended a cozy game to a friend or family member?  ,How likely are you to continue playing a cozy game after completing all available levels or content?  ,What role does music play in cozy games for you?,Which of the following devices do you use to play cozy games? (Select all that apply),"What are some of your favorite cozy games, and why do you enjoy playing them? (Please describe briefly)"
2023/05/03 3:01:47 a. m. GMT-4,Male,26-30,Simulation games,Weekly,Online reviews and ratings,2-5 hours,$10-$25,None,Important,Somewhat Important,Important,Important,Regular,Yes,Somewhat Likely,It helps me relax and focus,Mobile Phone,
2023/04/06 12:48:52 a. m. GMT-4,Male,41-45,Casual games,Occasionally,Word of mouth,2-5 hours,$0 ,Other,Regular,Important,Very Important,Important,Not Important,No,Neutral,"I appreciate the music, but it is not essential to my gaming experience",Other,"Endless Ocean (love the feel of water/swimming in games, love marine animals, nice music), Animal Crossing (cute and atmosoheric), Stardew Valley (playing with family, building something together without pressing goals, can take long breaks without losing feel for involved mechanics and stuff)"
2023/04/07 12:17:24 a. m. GMT-4,Female,26-30,Casual games;Simulation games,Weekly,Social media recommendations;Word of mouth;Online reviews and ratings,1-2 hours,$0 ,Cosmetics or skins,Regular,Very Important,Important,Not Important,Very Important,Yes,Somewhat Likely,It is essential to my gaming experience,PC/Laptop,"Animal crossing, is relaxing and addictive. Also you can play at your own pace not like in other games such as Stardew valley."
2023/04/06 2:04:56 p. m. GMT-4,Female,21-25,Simulation games,Weekly,Word of mouth,2-5 hours,$0 ,None,Important,Very Important,Very Important,Important,Regular,No,Very Likely,"I appreciate the music, but it is not essential to my gaming experience",PC/Laptop;Gaming Console,"I think I was emailed the wrong survey, I exclusively play VR military flight simulators on this https://international-store.varjo.com/home-storefront-b2c and nothing else, no music, no in game purchases, no multiplayer and no story, only a 2,000 pages avionics paper manual to memorize and my hotas and trackball to execute cockpit procedures in my varjo aero"
2023/04/09 12:17:00 a. m. GMT-4,Female,26-30,Other,Weekly,Online reviews and ratings,2-5 hours,Less than $10,Virtual currency,Not Important,Very Important,Important,Important,Important,Yes,Neutral,It helps me relax and focus,PC/Laptop;Gaming Console,
2023/04/06 9:07:11 a. m. GMT-4,Male,26-30,Adventure games;Simulation games;Puzzle games,Weekly,Word of mouth;Online reviews and ratings,2-5 hours,Less than $10,Extra lives or power-ups,Important,Regular,Regular,Regular,Regular,Yes,Somewhat Unlikely,It is essential to my gaming experience,PC/Laptop;Gaming Console,"Animal crossing, is relaxing and addictive. Also you can play at your own pace not like in other games such as Stardew valley."
2023/04/05 9:36:01 p. m. GMT-4,Male,26-30,Simulation games,Weekly,Social media recommendations;Word of mouth;Online reviews and ratings,1-2 hours,$10-$25,Extra lives or power-ups,Very Important,Very Important,Important,Important,Regular,Yes,Very Likely,It is essential to my gaming experience,Gaming Console,
2023/04/06 4:25:53 p. m. GMT-4,Female,21-25,Other,Occasionally,Online reviews and ratings,2-5 hours,$10-$25,None,Very Important,Somewhat Important,Very Important,Important,Regular,Yes,Somewhat Unlikely,It helps me relax and focus,Gaming Console,"Animal crossing, Stardew Valley "
2023/04/06 3:09:37 a. m. GMT-4,Female,21-25,Simulation games;Adventure games,Daily,Online reviews and ratings,More than 10 hours,$0 ,Extra lives or power-ups,Regular,Very Important,Very Important,Not Important,Somewhat Important,Yes,Somewhat Likely,It helps me relax and focus,PC/Laptop,
2023/04/05 10:07:36 p. m. GMT-4,Female,21-25,Adventure games;Simulation games;Puzzle games,Weekly,Social media recommendations,Less than 1 hour,$0 ,Other,Not Important,Very Important,Important,Somewhat Important,Regular,Yes,Neutral,It helps me relax and focus,PC/Laptop;Gaming Console,Red Dead Redemption 2. I like to hike and hunt all over random places. It is very good looking and plays well. Forza Horizon 4/5. I like these games as well just to drive around random places and have fun.  
